iter	RMSE
0	0.1313803429
1	0.1229545914
2	0.1160027194
3	0.1094973379
4	0.1035853977
5	0.09854746615
6	0.09416080715
7	0.08991562285
8	0.08563164768
9	0.08270112075
10	0.0796980623
11	0.07724485254
12	0.07461579815
13	0.07231108029
14	0.0705603958
15	0.06892343442
16	0.06727592088
17	0.06604560984
18	0.06484480908
19	0.06391820649
20	0.06322640074
21	0.06243267487
22	0.06185832046
23	0.0612516764
24	0.06059610367
25	0.06014023669
26	0.05983656141
27	0.05944763528
28	0.05899580045
29	0.05855610779
30	0.05825585575
31	0.05788950054
32	0.05766568514
33	0.05740500889
34	0.05715602418
35	0.05698581033
36	0.05684102485
37	0.05667982518
38	0.05651359681
39	0.05619858416
40	0.05593053937
41	0.05562851993
42	0.055455963
43	0.0552633261
44	0.05510544937
45	0.05502028029
46	0.05494713622
47	0.05481316856
48	0.05457705973
49	0.05453973843
50	0.05439423116
51	0.0540426511
52	0.05391261778
53	0.05387209253
54	0.05367819268
55	0.05360291111
56	0.05349544787
57	0.05338934247
58	0.05322410911
59	0.05295580635
60	0.05281117505
61	0.05267797756
62	0.05252999597
63	0.05242664323
64	0.05228669569
65	0.05207920202
66	0.05205084123
67	0.0518403275
68	0.05179163439
69	0.05158002881
70	0.05144559694
71	0.05136269228
72	0.05132635496
73	0.05120487648
74	0.05113585434
75	0.05104117864
76	0.05101313926
77	0.0509466408
78	0.05072037653
79	0.05061432748
80	0.05057264535
81	0.05040821234
82	0.05023712021
83	0.05014960058
84	0.05000684952
85	0.04995703614
86	0.04985612609
87	0.04980893275
88	0.04964135808
89	0.04952181424
90	0.04950084343
91	0.04945094462
92	0.04940379482
93	0.04933100663
94	0.04923574323
95	0.04916302539
96	0.04915009239
97	0.04899694113
98	0.04888481669
99	0.04884349084
